Protein	Gene	Description	Group	Peptides	Collapsed	ChrI-TEF1-SRPrec-32	ChrI-ADH1-SRP-3	ChrI-CYC1-SRP-6	ChrI-TEF1-SRP-15	ChrI-SRPrec-2cAlpha	HO-SRPrec-1aAlpha	ChrI-ADH1-SRP-1aAlpha	ChrI-TEF1-SRP-1aAlpha	WT MATa	Bridge
sp|P16521|EF3A_YEAST	YEF3	Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEF3 PE=1 SV=4	11	45	C	4585.426467	4698.394159	4769.771732	4768.682971	4681.841109	4777.768896	4344.082957	4435.164133	5850.129743	4946.265325
sp|P53978|EF3B_YEAST	HEF3	Elongation factor 3B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEF3 PE=1 SV=2	11	1	C	46.35426695	51.83746006	52.63978385	57.93418393	51.65690589	51.31272679	45.02077138	55.96721273	64.67914936	52.55758895
sp|Q05788|PNPH_YEAST	PNP1	Purine nucleoside phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNP1 PE=1 SV=1	12	2	C	142.5229325	141.940063	146.9399616	129.9327509	145.9007207	143.3538673	124.9702222	131.0620116	90.26196187	129.4178612
sp|P33892|GCN1_YEAST	GCN1	Translational activator GCN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN1 PE=1 SV=1	14	55	C	5655.841337	5702.550891	5619.18629	5636.671167	5638.905692	5434.206783	5146.038951	5725.541574	6520.118669	5755.937596
sp|P00925|ENO2_YEAST	ENO2	Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2	15	56	C	4934.937867	5117.627776	4956.197586	5154.43124	5174.100078	5676.912409	5779.45154	5298.967739	4754.559937	5106.771916
sp|P00924|ENO1_YEAST	ENO1	Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3	15	12	C	1670.15023	1687.762264	1760.467339	1136.64092	1432.504574	1475.942651	1298.707279	1490.785932	760.232241	1376.958637
sp|P11484|HSP75_YEAST	SSB1	Heat shock protein SSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB1 PE=1 SV=3	16	27	C	3345.692641	3549.203564	3402.532043	3303.598057	2963.884356	3399.96911	3442.075378	2989.572826	4259.568007	3371.823564
sp|P40150|HSP76_YEAST	SSB2	Heat shock protein SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB2 PE=1 SV=2	16	2	C	210.2315751	197.2496897	204.3078446	210.8048497	185.641929	210.434119	186.7261669	176.4704767	248.455159	204.4802207
sp|P32263|P5CR_YEAST	PRO3	Pyrroline-5-carboxylate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO3 PE=1 SV=1	17	9	C	971.567494	913.2658816	1047.669667	1018.012266	1028.60405	1089.158232	1117.075021	937.8966026	1008.585961	967.8939032
sp|P07342|ILVB_YEAST	ILV2	"Acetolactate synthase catalytic subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV2 PE=1 SV=1"	18	16	C	1744.582388	1810.645611	1843.10199	1864.842632	1874.375216	1894.947091	1873.180957	1890.233381	1155.463501	1629.005848
sp|P04161|PUR3_YEAST	ADE8	Phosphoribosylglycinamide formyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE8 PE=1 SV=1	19	4	C	528.2299079	597.9558599	553.6781819	560.3515089	551.6046776	629.9369449	704.3922677	552.164918	417.3710432	570.8692966
sp|Q12363|WTM1_YEAST	WTM1	Transcriptional modulator WTM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WTM1 PE=1 SV=1	20	16	C	1993.101794	1915.206552	1781.743985	1719.243203	1835.620995	1785.230144	1681.624612	1943.873467	1777.18691	1776.921456
sp|Q07478|SUB2_YEAST	SUB2	ATP-dependent RNA helicase SUB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUB2 PE=1 SV=1	21	14	C	1818.234685	1803.767133	1905.110504	1931.304191	1844.412734	1858.93769	1709.003758	1805.262199	1682.155083	1834.728101
sp|P17967|PDI_YEAST	PDI1	Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDI1 PE=1 SV=2	22	23	C	2872.517575	2773.299164	2546.142028	2496.865284	2460.687169	2441.359114	2260.220302	2613.443498	2272.17884	2448.159282
sp|P19097|FAS2_YEAST	FAS2	Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS2 PE=1 SV=2	23	93	C	12133.29962	12227.73135	12218.65953	11644.8513	11646.35873	11203.48531	11295.48502	12039.40617	10561.42898	11582.85117
sp|P16862|PFKA2_YEAST	PFK2	ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK2 PE=1 SV=4	24	18	C	1501.165501	1514.10343	1491.556951	1483.530496	1526.596763	1593.176574	1578.994328	1630.922909	1501.847463	1505.627487
sp|P16861|PFKA1_YEAST	PFK1	ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK1 PE=1 SV=1	24	44	C	4452.5493	4564.056783	4566.762904	4544.026121	4572.635362	4697.790338	4558.261529	5012.4588	3833.382969	4453.605185
sp|P38689|KPR3_YEAST	PRS3	Ribose-phosphate pyrophosphokinase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS3 PE=1 SV=1	25	8	C	699.7892921	751.6479182	772.3512654	760.1912931	771.8352873	741.3179241	659.5873647	828.2774106	881.4815449	751.4541447
sp|P38063|KPR4_YEAST	PRS4	Ribose-phosphate pyrophosphokinase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS4 PE=1 SV=3	25	3	C	291.5220532	283.2023788	287.1286412	330.628732	284.4406878	298.67929	315.9805466	312.4856367	409.4931203	323.1255856
sp|P38011|GBLP_YEAST	ASC1	Guanine nucleotide-binding protein subunit beta-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASC1 PE=1 SV=4	26	21	C	1934.3337	2100.066901	2154.33549	2113.576426	1913.874333	2154.045902	1970.077542	2164.20027	2635.315135	2153.807126
sp|P54070|KTR6_YEAST	KTR6	Mannosyltransferase KTR6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR6 PE=1 SV=1	27	3	C	154.0960691	148.5236045	144.6031333	160.6098805	150.2368024	146.7910814	146.198584	161.4572594	109.0281558	150.1228228
sp|Q04599|RM01_YEAST	MRPL1	"54S ribosomal protein L1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL1 PE=1 SV=1"	28	1	C	62.48936737	38.58290634	29.47365934	30.55691729	39.16852008	45.36473989	29.05237038	54.04722202	12.86968575	37.8693728
sp|P54114|ALDH3_YEAST	ALD3	Aldehyde dehydrogenase [NAD(P)+] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD3 PE=1 SV=1	29	17	C	1701.166414	1937.235861	2105.837547	1367.352059	1997.439958	1581.684869	1382.270816	1925.853281	805.178618	1609.759089
sp|P47169|MET5_YEAST	MET5	Sulfite reductase [NADPH] subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET5 PE=1 SV=1	30	55	C	6718.245921	6936.69725	7041.699223	7163.678073	6816.145997	7055.28884	6937.141077	6918.982429	1061.259595	6135.506436
sp|P32565|RPN2_YEAST	RPN2	26S proteasome regulatory subunit RPN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN2 PE=1 SV=4	30	12	C	1347.488328	1298.173774	1248.006404	1339.344654	1329.022768	1300.549994	1157.816518	1312.085758	1401.273791	1287.010854
sp|P07149|FAS1_YEAST	FAS1	Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS1 PE=1 SV=2	31	69	C	8007.512059	8137.026952	8203.908502	7601.545169	7838.820279	7356.523902	7362.069722	8160.909597	7022.353036	7852.317325
sp|Q00711|SDHA_YEAST	SDH1	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDH1 PE=1 SV=1"	32	7	C	641.2105932	674.3948367	636.7241546	650.2498759	650.7964674	596.378284	654.9076113	598.0635322	1090.482944	714.2121404
sp|Q12029|FSF1_YEAST	FSF1	Probable mitochondrial transport protein FSF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FSF1 PE=1 SV=1	33	2	C	189.8627209	195.6235004	194.5492097	202.1854187	213.8970293	198.2916296	214.4735591	212.6622176	172.6318292	201.4102204
sp|P53252|PIL1_YEAST	PIL1	Sphingolipid long chain base-responsive protein PIL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIL1 PE=1 SV=1	34	11	C	1373.869911	1548.909941	1405.409552	1407.518607	1366.70865	1473.842017	1357.655958	1476.646093	903.9174398	1294.851774
sp|Q12230|LSP1_YEAST	LSP1	Sphingolipid long chain base-responsive protein LSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSP1 PE=1 SV=1	34	10	C	1274.192539	1284.810741	1195.975697	1281.249689	1272.361628	1290.973573	1223.153339	1372.681635	786.6138101	1187.363841
sp|P50085|PHB2_YEAST	PHB2	Prohibitin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHB2 PE=1 SV=2	35	5	C	392.368102	366.3158021	370.9652325	360.8955767	413.4381388	385.6424562	347.4865886	412.2393777	410.9065518	400.8739583
sp|P10622|RLA3_YEAST	RPP1B	60S acidic ribosomal protein P1-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP1B PE=1 SV=3	36	1	C	158.993596	183.758379	142.3713873	165.3942394	126.1991885	171.7968661	161.6639433	169.0689858	184.8380599	153.5900837
sp|P00560|PGK_YEAST	PGK1	Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2	37	28	C	3401.018206	3730.518619	4109.104845	3548.010643	3748.995463	4147.475667	4569.445661	3686.713742	3160.432922	3448.279654
sp|P24280|SEC14_YEAST	SEC14	SEC14 cytosolic factor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC14 PE=1 SV=3	38	7	C	684.2778576	662.6872839	684.4955296	712.1523309	631.3625098	647.0344596	660.5201897	643.4623865	687.9689685	706.3067476
sp|P53128|MTHR2_YEAST	MET13	Methylenetetrahydrofolate reductase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET13 PE=1 SV=2	39	11	C	1296.374013	1396.775388	1450.865115	1354.526345	1335.98167	1285.660204	1333.861595	1339.644628	142.6335163	1236.542628
sp|P32466|HXT3_YEAST	HXT3	Low-affinity glucose transporter HXT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT3 PE=1 SV=1	40	11	C	1290.513915	1421.006618	1449.704207	1449.868745	1462.476856	1394.089998	1434.596926	1574.123284	750.4538307	1378.9402
sp|P39003|HXT6_YEAST	HXT6	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT6 PE=1 SV=2	40	1	C	105.8843962	195.1952369	190.1647794	175.958214	133.3599961	134.8607149	126.6229341	126.2626355	113.1931171	133.234977
sp|P23585|HXT2_YEAST	HXT2	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1	40	4	C	124.2285085	172.865941	166.0018751	139.5830659	130.4656812	148.6662064	129.9068688	144.8186213	369.6194334	183.7572449
sp|P32465|HXT1_YEAST	HXT1	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1	40	3	C	370.7704098	430.955311	425.8852003	444.6442669	406.1273717	465.1205686	526.8839745	540.8638589	275.8227738	432.9932908
sp|P38695|HXT5_YEAST	HXT5	Probable glucose transporter HXT5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT5 PE=1 SV=1	40	3	C	185.0242407	195.7558177	190.969409	185.9625003	192.8272398	206.4851327	165.5271085	211.7852352	330.8347228	210.561438
sp|P05737|RL7A_YEAST	RPL7A	60S ribosomal protein L7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL7A PE=1 SV=3	41	10	C	1119.245307	1238.661307	1150.209891	1092.486448	1076.404843	1176.313957	1171.042121	1159.705866	1497.058951	1189.297998
sp|Q12754|RRP12_YEAST	RRP12	Ribosomal RNA-processing protein 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP12 PE=1 SV=1	43	13	C	1148.902306	1187.340389	1154.323109	1230.693853	1205.497366	1154.792754	1108.801693	1245.831542	1595.223449	1287.769346
sp|P0CX39|RS8A_YEAST	RPS8A	40S ribosomal protein S8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS8A PE=1 SV=1	44	10	C	588.5220727	752.627672	797.5129512	665.967121	642.1987936	739.6425654	762.4071447	756.4861923	1375.638096	759.5320948
sp|P31116|DHOM_YEAST	HOM6	Homoserine dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOM6 PE=1 SV=1	45	17	C	2538.993324	2509.614087	2689.594261	2599.37905	2763.83064	2775.133411	2618.874417	2636.761618	1660.069749	2482.699155
sp|P32366|VA0D_YEAST	VMA6	V-type proton ATPase subunit d OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA6 PE=1 SV=2	46	6	C	415.1801492	403.4767523	411.9252785	455.5691084	421.0086395	452.7566888	441.3649236	431.9198231	394.332482	439.5997645
sp|P06197|PIS_YEAST	PIS1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIS1 PE=1 SV=1	47	4	C	323.9976918	300.2763563	280.166194	319.7498608	284.4965551	305.2345043	343.2795967	304.879917	218.4150771	289.5584797
sp|P46655|SYEC_YEAST	GUS1	"Glutamate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUS1 PE=1 SV=3"	48	27	C	3405.975893	3514.386953	3607.702563	3555.342906	3684.336487	3562.552018	3308.490932	3656.956409	3443.954609	3546.931145
sp|P39730|IF2P_YEAST	FUN12	Eukaryotic translation initiation factor 5B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN12 PE=1 SV=2	49	17	C	1459.721461	1505.800774	1476.124878	1450.69621	1379.871755	1448.037168	1454.249742	1480.886843	1975.895246	1507.646974
sp|P38998|LYS1_YEAST	LYS1	"Saccharopine dehydrogenase [NAD(+), L-lysine-forming] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS1 PE=1 SV=3"	50	7	C	883.3161997	940.5899018	933.014964	953.1769058	908.8090116	900.5511443	818.1158439	918.0671903	151.5944484	794.3573509
sp|P53313|SDA1_YEAST	SDA1	Protein SDA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDA1 PE=1 SV=1	51	4	C	242.7317235	269.01716	265.0553717	246.0571733	244.9415709	249.59859	266.861206	232.9685641	383.4613661	281.8683092
sp|Q06698|YL419_YEAST	YLR419W	Putative ATP-dependent RNA helicase YLR419W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR419W PE=1 SV=1	52	1	C	76.28789295	89.73332668	75.29410794	92.76323601	90.9329459	88.4732545	86.72830467	88.56128359	125.5350969	91.27486207
sp|P07262|DHE4_YEAST	GDH1	NADP-specific glutamate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH1 PE=1 SV=2	53	27	C	4419.371787	4438.991717	4477.062725	4276.306594	4188.700025	4571.711098	4473.01793	4062.662869	584.6877731	3632.839954
sp|P39708|DHE5_YEAST	GDH3	NADP-specific glutamate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH3 PE=3 SV=1	53	8	C	1292.285313	1290.517554	1279.941389	1344.86109	1343.352224	1455.605629	1351.805045	1204.156859	396.6782563	1189.402291
sp|P07143|CY1_YEAST	CYT1	"Cytochrome c1, heme protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYT1 PE=1 SV=1"	54	6	C	465.4722683	474.8816127	477.5135929	493.7704267	511.9869653	464.2535421	522.875269	549.6721256	570.4579858	513.7604655
sp|Q03973|HMO1_YEAST	HMO1	High mobility group protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HMO1 PE=1 SV=1	55	6	C	826.403061	845.9244743	785.030185	795.1448098	648.5568772	680.2790551	641.1809206	751.8886423	597.0364658	729.2720181
sp|P21524|RIR1_YEAST	RNR1	Ribonucleoside-diphosphate reductase large chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR1 PE=1 SV=2	56	17	C	1451.432653	1824.968197	2127.434443	1972.608505	1408.422854	1562.459947	1482.586132	1756.571657	2477.480703	1954.541545
sp|P09624|DLDH_YEAST	LPD1	"Dihydrolipoyl dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LPD1 PE=1 SV=1"	58	11	C	1452.702713	1414.673571	1351.927709	1421.033875	1409.804833	1371.291939	1422.05507	1447.381312	1227.858048	1346.656844
sp|P22515|UBA1_YEAST	UBA1	Ubiquitin-activating enzyme E1 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBA1 PE=1 SV=2	59	29	C	3631.86819	3565.485658	3592.420606	3716.687162	3873.17755	3748.221307	3307.768115	3334.911664	3357.813602	3575.545292
sp|P00817|IPYR_YEAST	IPP1	Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPP1 PE=1 SV=4	60	17	C	3050.570972	2997.410269	2744.907537	2708.638958	2650.537764	2796.551642	2884.314408	2782.19653	1518.63709	2589.997465
sp|P53742|NOG2_YEAST	NOG2	Nucleolar GTP-binding protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOG2 PE=1 SV=1	61	11	C	852.2019756	966.0998624	1004.545928	1061.954125	941.0081428	975.4778825	975.062916	1042.265914	1315.617602	1026.37371
sp|P11745|RNA1_YEAST	RNA1	Ran GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNA1 PE=1 SV=2	62	15	C	1879.308939	1812.584917	2248.168903	2056.05609	1807.305127	1875.732467	2024.669782	1866.410695	3496.852005	2153.276181
sp|Q12149|RRP6_YEAST	RRP6	Exosome complex exonuclease RRP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP6 PE=1 SV=1	63	1	C	75.22750487	76.99773945	79.62969998	86.66780424	73.92970322	77.61493222	72.04700681	82.21361313	96.99571382	77.22520217
sp|P39078|TCPD_YEAST	CCT4	T-complex protein 1 subunit delta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT4 PE=1 SV=2	64	12	C	968.0079858	1073.88086	1138.550769	1133.444835	1091.890849	1046.280582	1078.882919	1063.147705	1570.773694	1201.395961
sp|P53973|HDA1_YEAST	HDA1	Histone deacetylase HDA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HDA1 PE=1 SV=1	66	1	C	32.45101718	40.58160408	39.05395469	30.17536381	34.2822931	34.29861958	38.13593688	39.63095336	38.67864731	38.94121816
sp|P07278|KAPR_YEAST	BCY1	cAMP-dependent protein kinase regulatory subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BCY1 PE=1 SV=4	67	9	C	585.4627896	566.5300045	575.3811617	558.5287865	596.8130341	564.4187824	562.4954232	594.5856363	567.6736376	540.9145134
sp|Q06523|YP148_YEAST	YPR148C	Uncharacterized protein YPR148C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR148C PE=1 SV=1	68	4	C	263.7612313	220.4466233	214.2526251	270.8684928	238.7109038	247.8933693	415.5349507	235.5262292	239.2160158	259.5695643
sp|P19882|HSP60_YEAST	HSP60	"Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP60 PE=1 SV=1"	69	22	C	3106.386735	2607.023835	2935.656773	2935.08865	2817.198554	2469.676486	3878.090477	2400.43289	5636.123528	3201.740999
sp|Q06142|IMB1_YEAST	KAP95	Importin subunit beta-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP95 PE=1 SV=1	70	10	C	922.5409778	904.4672885	902.6071739	885.0546693	934.5138215	845.7297405	830.4936012	826.4729893	1037.317034	934.43109
sp|P38288|TOS1_YEAST	TOS1	Protein TOS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOS1 PE=1 SV=1	71	2	C	207.5911887	231.113819	204.5250145	232.4924874	200.216417	223.654728	214.6825901	229.8967232	176.6535827	216.1714415
sp|Q12068|GRE2_YEAST	GRE2	NADPH-dependent methylglyoxal reductase GRE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRE2 PE=1 SV=1	72	8	C	953.464693	1022.307428	1039.663403	789.7099712	909.9959453	1000.941894	879.932349	1066.49105	572.8559713	915.8811966
sp|P07259|PYR1_YEAST	URA2	Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5	73	93	C	16116.71799	11185.0511	11018.62065	11868.15203	14454.81455	11966.81871	10347.91065	12340.22313	6146.68931	11159.04323
sp|P03965|CARB_YEAST	CPA2	Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA2 PE=1 SV=1	73	56	C	5922.208418	5224.188627	5565.924619	5740.311205	5950.272427	5942.961848	5081.737518	5541.73568	2172.850778	5097.632076
sp|P43579|IES1_YEAST	IES1	Ino eighty subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES1 PE=1 SV=1	74	1	C	51.21436045	50.03430906	52.12388022	49.50978191	53.27460545	58.14524543	54.79824246	53.36497779	51.40318595	50.32705078
sp|P30619|SEC1_YEAST	SEC1	Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC1 PE=1 SV=1	75	1	C	26.42893086	32.59448956	27.33418548	28.74223974	24.08348389	34.67570401	32.8851578	36.29601767	27.70213936	26.78475669
sp|P38144|ISW1_YEAST	ISW1	ISWI chromatin-remodeling complex ATPase ISW1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISW1 PE=1 SV=2	76	3	C	456.7991004	446.6566231	440.1303453	437.6567815	465.9778451	408.5002394	425.3633121	442.5541354	464.9630359	451.7991756
